wonby,unforced,cause,strokesCount,lastStroke
Lin Dan,1,back-out,10,"{""serve"":false,""stroker"":""Viktor Axelsen"",""from"":""front-right"",""to"":""back-left"",""balance"":""defensive"",""hand"":""forehand""}"
Lin Dan,,watch,3,"{""serve"":false,""stroker"":""Lin Dan"",""from"":""back-left"",""to"":""middle-right"",""balance"":""offensive"",""hand"":""forehand""}"
Viktor Axelsen,1,net,6,"{""serve"":false,""stroker"":""Viktor Axelsen"",""from"":""front-left"",""to"":""back-right"",""balance"":""defensive"",""hand"":""backhand""}"
Viktor Axelsen,1,net,3,"{""serve"":false,""stroker"":""Viktor Axelsen"",""from"":""back-right"",""to"":""middle-left"",""balance"":""defensive"",""hand"":""forehand""}"
Viktor Axelsen,1,back-out,14,"{""serve"":false,""stroker"":""Lin Dan"",""from"":""back-right"",""to"":""back-left"",""balance"":""even"",""hand"":""forehand""}"
Viktor Axelsen,,ace,9,"{""serve"":false,""stroker"":""Viktor Axelsen"",""from"":""front-left"",""to"":""front-left"",""balance"":""even"",""hand"":""backhand""}"
Viktor Axelsen,1,back-out,16,"{""serve"":false,""stroker"":""Lin Dan"",""from"":""front-right"",""to"":""back-right"",""balance"":""offensive"",""hand"":""backhand""}"
Lin Dan,,sideout,35,"{""serve"":false,""stroker"":""Viktor Axelsen"",""from"":""front-left"",""to"":""front-right"",""balance"":""defensive"",""hand"":""backhand""}"
Viktor Axelsen,,ace,23,"{""serve"":false,""stroker"":""Viktor Axelsen"",""from"":""front-right"",""to"":""front-right"",""balance"":""offensive"",""hand"":""forehand""}"
Viktor Axelsen,,net,8,"{""serve"":false,""stroker"":""Lin Dan"",""from"":""back-left"",""to"":""front-right"",""balance"":""defensive"",""hand"":""forehand""}"
Lin Dan,,ace,15,"{""serve"":false,""stroker"":""Viktor Axelsen"",""from"":""back-right"",""to"":""back-left"",""balance"":""defensive"",""hand"":""forehand""}"
Lin Dan,,ace,1,"{""serve"":true,""stroker"":""Lin Dan"",""from"":""front-right"",""to"":""back-right"",""balance"":""even"",""hand"":""backhand""}"
