serve,stroker,from,to,balance,hand,index
1,Lin Dan,front-right,front-center,even,backhand,1
,Viktor Axelsen,front-center,front-right,even,backhand,2
,Lin Dan,front-right,back-right,defensive,backhand,3
,Viktor Axelsen,back-right,middle-left,offensive,forehand,4
,Lin Dan,middle-left,front-right,even,forehand,5
,Viktor Axelsen,front-right,back-right,even,forehand,6
,Lin Dan,back-right,middle-right,offensive,forehand,7
,Viktor Axelsen,middle-right,front-right,defensive,forehand,8
,Lin Dan,front-left,front-right,offensive,forehand,9
,Viktor Axelsen,front-right,back-left,defensive,forehand,10
1,Lin Dan,front-left,front-center,even,backhand,1
,Viktor Axelsen,front-center,back-left,even,backhand,2
,Lin Dan,back-left,middle-right,offensive,forehand,3
1,Lin Dan,front-right,front-center,even,backhand,1
,Viktor Axelsen,front-center,back-left,even,backhand,2
,Lin Dan,back-left,back-right,defensive,forehand,3
,Viktor Axelsen,back-right,middle-right,offensive,forehand,4
,Lin Dan,middle-right,front-left,defensive,backhand,5
,Viktor Axelsen,front-left,back-right,defensive,backhand,6
1,Viktor Axelsen,front-left,front-center,even,backhand,1
,Lin Dan,front-center,back-right,even,backhand,2
,Viktor Axelsen,back-right,middle-left,defensive,forehand,3
1,Viktor Axelsen,front-right,back-right,even,backhand,1
,Lin Dan,back-right,middle-center,even,forehand,2
,Viktor Axelsen,middle-center,front-left,even,forehand,3
,Lin Dan,front-left,front-center,even,forehand,4
,Viktor Axelsen,front-center,back-right,even,forehand,5
,Lin Dan,back-right,middle-center,even,forehand,6
,Viktor Axelsen,middle-center,front-right,even,backhand,7
,Lin Dan,front-right,front-center,even,backhand,8
,Viktor Axelsen,front-center,back-left,even,backhand,9
,Lin Dan,back-left,front-left,defensive,forehand,10
,Viktor Axelsen,front-left,front-right,even,backhand,11
,Lin Dan,front-right,front-left,offensive,backhand,12
,Viktor Axelsen,front-left,back-right,even,backhand,13
,Lin Dan,back-right,back-left,even,forehand,14
1,Viktor Axelsen,front-left,front-center,even,backhand,1
,Lin Dan,front-center,back-right,even,backhand,2
,Viktor Axelsen,back-right,front-right,even,forehand,3
,Lin Dan,front-right,front-center,even,backhand,4
,Viktor Axelsen,front-center,back-right,even,forehand,5
,Lin Dan,back-right,middle-center,even,forehand,6
,Viktor Axelsen,middle-center,front-right,even,backhand,7
,Lin Dan,front-right,front-left,even,backhand,8
,Viktor Axelsen,front-left,front-left,even,backhand,9
1,Viktor Axelsen,front-right,front-center,even,backhand,1
,Lin Dan,front-center,middle-left,even,backhand,2
,Viktor Axelsen,middle-left,middle-right,even,backhand,3
,Lin Dan,middle-right,front-left,even,backhand,4
,Viktor Axelsen,front-left,front-right,offensive,backhand,5
,Lin Dan,front-right,back-right,defensive,backhand,6
,Viktor Axelsen,back-right,front-left,defensive,forehand,7
,Lin Dan,front-left,front-left,offensive,forehand,8
,Viktor Axelsen,front-left,back-left,defensive,backhand,9
,Lin Dan,back-left,front-center,even,forehand,10
,Viktor Axelsen,front-center,front-right,offensive,forehand,11
,Lin Dan,front-right,front-left,defensive,backhand,12
,Viktor Axelsen,front-left,back-left,even,backhand,13
,Lin Dan,back-left,middle-right,defensive,forehand,14
,Viktor Axelsen,middle-right,front-right,even,forehand,15
,Lin Dan,front-right,back-right,offensive,backhand,16
1,Viktor Axelsen,front-left,front-center,even,backhand,1
,Lin Dan,front-center,back-right,even,backhand,2
,Viktor Axelsen,back-right,middle-right,offensive,forehand,3
,Lin Dan,middle-right,front-left,even,backhand,4
,Viktor Axelsen,front-left,back-right,defensive,backhand,5
,Lin Dan,back-right,middle-left,offensive,forehand,6
,Viktor Axelsen,middle-left,middle-left,defensive,backhand,7
,Lin Dan,middle-left,front-center,even,forehand,8
,Viktor Axelsen,front-center,back-right,even,forehand,9
,Lin Dan,back-right,front-center,defensive,backhand,10
