wonby,unforced,cause,strokesCount,lastStroke
Akane Yamaguchi,,ace,10,"{""serve"":false,""stroker"":""Akane Yamaguchi"",""from"":""back-left"",""to"":""middle-left"",""balance"":""offensive"",""hand"":""forehand""}"
Akane Yamaguchi,1,net,14,"{""serve"":false,""stroker"":""Wang Shixian"",""from"":""middle-center"",""to"":""middle-right"",""balance"":""offensive"",""hand"":""forehand""}"
Wang Shixian,,ace,2,"{""serve"":false,""stroker"":""Wang Shixian"",""from"":""back-right"",""to"":""front-right"",""balance"":""offensive"",""hand"":""forehand""}"
Akane Yamaguchi,,ace,18,"{""serve"":false,""stroker"":""Akane Yamaguchi"",""from"":""back-left"",""to"":""front-left"",""balance"":""offensive"",""hand"":""forehand""}"
Akane Yamaguchi,,net,6,"{""serve"":false,""stroker"":""Wang Shixian"",""from"":""back-left"",""to"":""front-right"",""balance"":""offensive"",""hand"":""forehand""}"
Akane Yamaguchi,1,net,6,"{""serve"":false,""stroker"":""Wang Shixian"",""from"":""front-center"",""to"":""back-right"",""balance"":""offensive"",""hand"":""backhand""}"
Akane Yamaguchi,1,sideout,2,"{""serve"":false,""stroker"":""Wang Shixian"",""from"":""back-center"",""to"":""back-left"",""balance"":""offensive"",""hand"":""forehand""}"
Wang Shixian,1,net,11,"{""serve"":false,""stroker"":""Akane Yamaguchi"",""from"":""back-right"",""to"":""middle-left"",""balance"":""defensive"",""hand"":""forehand""}"
Akane Yamaguchi,,net-in,6,"{""serve"":false,""stroker"":""Akane Yamaguchi"",""from"":""back-center"",""to"":""middle-left"",""balance"":""offensive"",""hand"":""forehand""}"
Wang Shixian,1,sideout,23,"{""serve"":false,""stroker"":""Akane Yamaguchi"",""from"":""front-center"",""to"":""back-left"",""balance"":""offensive"",""hand"":""backhand""}"
Akane Yamaguchi,1,sideout,1,"{""serve"":true,""stroker"":""Wang Shixian"",""from"":""front-left"",""to"":""back-left"",""balance"":""even"",""hand"":""forehand""}"
Wang Shixian,,ace,4,"{""serve"":false,""stroker"":""Wang Shixian"",""from"":""front-center"",""to"":""front-left"",""balance"":""offensive"",""hand"":""forehand""}"
