serve,stroker,from,to,balance,hand,index
1,Wang Shixian,front-right,back-left,even,forehand,1
,Akane Yamaguchi,back-center,back-left,even,forehand,2
,Wang Shixian,back-left,front-center,defensive,forehand,3
,Akane Yamaguchi,front-center,back-right,offensive,backhand,4
,Wang Shixian,back-right,middle-left,defensive,forehand,5
,Akane Yamaguchi,middle-left,front-center,even,backhand,6
,Wang Shixian,front-center,front-center,even,forehand,7
,Akane Yamaguchi,front-center,back-right,even,forehand,8
,Wang Shixian,back-right,back-left,defensive,forehand,9
,Akane Yamaguchi,back-left,middle-left,offensive,forehand,10
1,Akane Yamaguchi,front-left,back-right,even,forehand,1
,Wang Shixian,back-center,front-right,offensive,forehand,2
,Akane Yamaguchi,front-right,back-right,offensive,forehand,3
,Wang Shixian,back-right,front-right,defensive,forehand,4
,Akane Yamaguchi,front-right,back-left,defensive,forehand,5
,Wang Shixian,back-left,back-right,even,forehand,6
,Akane Yamaguchi,back-right,back-left,defensive,forehand,7
,Wang Shixian,back-left,back-center,defensive,forehand,8
,Akane Yamaguchi,back-center,middle-left,offensive,forehand,9
,Wang Shixian,middle-left,back-right,defensive,backhand,10
,Akane Yamaguchi,back-right,front-left,defensive,forehand,11
,Wang Shixian,front-left,middle-center,offensive,backhand,12
,Akane Yamaguchi,middle-center,middle-center,defensive,backhand,13
,Wang Shixian,middle-center,middle-right,offensive,forehand,14
1,Akane Yamaguchi,front-right,back-center,even,forehand,1
,Wang Shixian,back-right,front-right,offensive,forehand,2
1,Wang Shixian,front-left,back-right,even,forehand,1
,Akane Yamaguchi,back-center,back-right,offensive,forehand,2
,Wang Shixian,back-right,front-center,defensive,forehand,3
,Akane Yamaguchi,front-center,back-right,offensive,forehand,4
,Wang Shixian,back-right,middle-center,defensive,forehand,5
,Akane Yamaguchi,middle-center,front-left,offensive,backhand,6
,Wang Shixian,front-left,back-center,defensive,backhand,7
,Akane Yamaguchi,back-center,middle-left,offensive,forehand,8
,Wang Shixian,middle-left,back-right,offensive,backhand,9
,Akane Yamaguchi,back-right,middle-left,defensive,forehand,10
,Wang Shixian,middle-left,front-center,even,backhand,11
,Akane Yamaguchi,front-center,back-left,offensive,backhand,12
,Wang Shixian,back-left,back-left,defensive,forehand,13
,Akane Yamaguchi,back-left,middle-right,defensive,forehand,14
,Wang Shixian,middle-right,front-center,defensive,forehand,15
,Akane Yamaguchi,front-center,back-left,offensive,forehand,16
,Wang Shixian,back-left,back-left,defensive,backhand,17
,Akane Yamaguchi,back-left,front-left,offensive,forehand,18
1,Akane Yamaguchi,front-left,back-right,even,forehand,1
,Wang Shixian,back-center,middle-right,offensive,forehand,2
,Akane Yamaguchi,middle-right,back-left,defensive,forehand,3
,Wang Shixian,back-left,front-center,offensive,forehand,4
,Akane Yamaguchi,front-right,back-left,defensive,forehand,5
,Wang Shixian,back-left,front-right,offensive,forehand,6
1,Akane Yamaguchi,front-right,back-left,even,forehand,1
,Wang Shixian,back-center,back-right,offensive,forehand,2
,Akane Yamaguchi,back-right,middle-left,offensive,forehand,3
,Wang Shixian,middle-left,front-left,offensive,backhand,4
,Akane Yamaguchi,front-left,front-center,defensive,backhand,5
,Wang Shixian,front-center,back-right,offensive,backhand,6
1,Akane Yamaguchi,front-left,back-center,even,forehand,1
,Wang Shixian,back-center,back-left,offensive,forehand,2
1,Akane Yamaguchi,front-right,back-left,even,forehand,1
,Wang Shixian,back-center,middle-right,offensive,forehand,2
,Akane Yamaguchi,middle-right,middle-left,offensive,forehand,3
,Wang Shixian,middle-left,front-center,even,backhand,4
,Akane Yamaguchi,front-center,front-center,defensive,backhand,5
,Wang Shixian,front-center,back-left,offensive,backhand,6
,Akane Yamaguchi,back-left,back-center,defensive,forehand,7
,Wang Shixian,back-center,middle-center,offensive,forehand,8
,Akane Yamaguchi,middle-center,front-right,offensive,forehand,9
,Wang Shixian,front-right,back-right,even,forehand,10
,Akane Yamaguchi,back-right,middle-left,defensive,forehand,11
1,Wang Shixian,front-right,front-center,even,forehand,1
